date,open,high,low,close,volume,rsi,vwap,sma,ema,vix,spx,gold,nasdaq,dji,dx,fear&greed_idx,fgi_cls,close_ffd,eos_price,prediction,ground_truth,pred,lab,meta_target
2022-09-01,20048.44,20208.37,19565.66,20131.46,245289.97263,28.640618106476467,21626.76381578425,21634.4655,21204.10598103485,25.559999465942383,3966.85009765625,1696.5999755859375,11785.1298828125,31656.419921875,109.69000244140624,20.0,Extreme Fear,203.89437726951653,,,,,,
2022-09-02,20132.64,20441.26,19755.29,19951.86,245986.6033,41.14869486551488,21425.12466604889,21409.9895,21084.844459031527,25.46999931335449,3924.260009765625,1709.800048828125,11630.8603515625,31318.439453125,109.52999877929688,25.0,Extreme Fear,6.4788979829027085,,,,,,
2022-09-03,19950.98,20055.93,19652.72,19831.9,146639.03204,36.37206511389514,21256.47413297557,21186.3225,20965.51641531424,25.829999446868896,3920.242492675781,1707.4500427246094,11609.372802734377,31275.15478515625,109.69999885559082,21.0,Extreme Fear,-7.421554723441659,,,,,,
2022-09-04,19832.45,20029.23,19583.1,20000.3,145588.77893,33.502161155810015,21019.720159190896,20981.5965,20873.591042427168,26.1899995803833,3916.2249755859375,1705.1000366210938,11587.88525390625,31231.8701171875,109.86999893188477,20.0,Extreme Fear,263.36121622957216,,,,,,
2022-09-05,20000.3,20057.27,19633.83,19796.84,222543.01057,32.87451416947813,20826.855183960262,20778.701500000003,20771.04332410077,26.549999713897705,3912.2074584960938,1702.750030517578,11566.397705078123,31188.58544921875,110.03999900817873,23.0,Extreme Fear,21.494171911650483,,,,,,
2022-09-06,19795.34,20180.0,18649.51,18790.61,356315.05718,25.36012682942625,20548.79809224045,20551.099,20582.43062656736,26.90999984741211,3908.18994140625,1700.4000244140625,11544.91015625,31145.30078125,110.20999908447266,22.0,Extreme Fear,-870.9489426956134,,,,,,
2022-09-07,18790.61,19464.06,18510.77,19292.84,287394.7788,32.40803219932654,20361.72159495557,20356.181,20459.612471656183,24.63999938964844,3979.8701171875,1715.300048828125,11791.900390625,31581.279296875,109.83999633789062,24.0,Extreme Fear,176.38866752887043,,,,,,
2022-09-08,19292.85,19458.25,19012.0,19319.77,262813.28273,30.474536249853912,20213.66949344848,20280.45,20351.05604578417,23.61000061035156,4006.179931640625,1708.0,11862.1298828125,31774.51953125,109.70999908447266,20.0,Extreme Fear,107.30214074610194,,,,,,
2022-09-09,19320.54,21597.22,19291.75,21360.11,428919.74652,58.66604301348395,20228.622062538743,20291.452,20447.15642237616,22.790000915527344,4067.360107421875,1716.199951171875,12112.3095703125,32151.7109375,109.0,22.0,Extreme Fear,2158.0446723431087,,,,,,
2022-09-10,21361.62,21810.8,21111.13,21648.34,307997.33504,62.31196570743701,20271.374550283937,20298.0885,20561.55485834033,23.150000890096027,4081.710123697917,1720.1666259765625,12163.676432291666,32228.25390625,108.77666727701823,28.0,Fear,1451.305970623063,,,,,,
2022-09-11,21647.21,21860.0,21350.0,21826.87,280702.55149,68.20532551018773,20307.049002399977,20319.4405,20682.06106230792,23.510000864664715,4096.060139973958,1724.13330078125,12215.043294270834,32304.796875,108.55333455403644,26.0,Fear,1255.2057597113271,,,,,,
2022-09-12,21826.87,22488.0,21538.51,22395.74,395395.61828,67.36162194630268,20409.62310603112,20362.7715,20845.26858018336,23.8700008392334,4110.41015625,1728.0999755859375,12266.41015625,32381.33984375,108.33000183105467,25.0,Extreme Fear,1593.8451240624745,,,,,,
2022-09-13,22395.44,22799.0,19860.0,20173.57,431915.03333,52.31259784657656,20418.35088988722,20303.046,20781.297286832563,27.270000457763672,3932.68994140625,1705.0,11633.5703125,31104.970703125,109.81999969482422,34.0,Fear,-1012.134541778738,,,,,,
2022-09-14,20173.62,20541.48,19617.62,20226.71,340826.40151,51.15641930851766,20364.2266645504,20236.4295,20728.47944999137,26.15999984741211,3946.010009765625,1696.5,11719.6796875,31135.08984375,109.66000366210938,27.0,Fear,21.66462693066569,,,,,,
2022-09-15,20227.17,20330.24,19497.0,19701.88,333069.76076,47.34266824365453,20313.48753276859,20209.471,20630.70807380172,26.270000457763672,3901.35009765625,1665.4000244140625,11552.3603515625,30961.8203125,109.73999786376952,28.0,Fear,-326.9617255622616,,,,,,
2022-09-16,19701.88,19890.0,19320.01,19803.3,283791.07064,49.07204981048728,20287.70055129924,20197.756,20551.90730486822,26.299999237060547,3873.330078125,1671.699951171875,11448.400390625,30822.419921875,109.76000213623048,20.0,Extreme Fear,119.75477558633791,,,,,,
2022-09-17,19803.3,20189.0,19748.08,20113.62,179350.24338,51.718831984966606,20292.39794897156,20225.6565,20510.16565678553,26.119999567667644,3882.183349609375,1669.8666178385415,11477.2734375,30888.17317708333,109.75333404541016,22.0,Extreme Fear,493.4382250513154,,,,,,
2022-09-18,20112.61,20117.26,19335.62,19416.18,254217.46904,46.65227747376819,20269.947554317445,20182.179,20405.97654661548,25.93999989827474,3891.03662109375,1668.0332845052085,11506.146484375,30953.926432291668,109.74666595458984,27.0,Fear,-306.36920251889023,,,,,,
2022-09-19,19417.45,19686.2,18232.56,19537.02,380512.40306,48.49667651061388,20209.671438265315,20168.447,20323.21878027115,25.76000022888184,3899.889892578125,1666.199951171875,11535.01953125,31019.6796875,109.73999786376952,21.0,Extreme Fear,162.69746309979018,,,,,,
2022-09-20,19537.02,19634.62,18711.87,18875.0,324098.3286,50.50853830940388,20151.370718850703,20109.696000000004,20185.29318215009,27.15999984741211,3855.929931640625,1659.699951171875,11425.0498046875,30706.23046875,110.22000122070312,23.0,Extreme Fear,-462.7368084104892,,,,,,
2022-09-21,18874.31,19956.0,18125.98,18461.36,385034.10021,44.93538578487268,20075.10486321853,20026.191,20021.109069564365,27.989999771118164,3789.929931640625,1664.5999755859375,11220.1904296875,30183.779296875,110.63999938964844,23.0,Extreme Fear,-505.3431746541173,,,,,,
2022-09-22,18461.36,19550.17,18356.39,19401.63,379321.72111,50.448692510244406,20015.9291045275,19998.6795,19962.111062939184,27.350000381469727,3757.989990234375,1670.800048828125,11066.8095703125,30076.6796875,111.3499984741211,22.0,Extreme Fear,755.4837483162446,,,,,,
2022-09-23,19401.63,19500.0,18531.42,19289.91,385886.91829,35.610500678395866,19964.73157173732,19971.58,19898.091914087832,29.920000076293945,3693.22998046875,1645.300048828125,10867.9296875,29590.41015625,113.19000244140624,20.0,Extreme Fear,291.7378005711398,,,,,,
2022-09-24,19288.57,19316.14,18805.34,18920.5,239496.56746,31.250979432602666,19931.59727900973,19917.59,19804.987922269946,30.6999994913737,3680.5,1637.9667154947915,10846.259765625,29480.543619791668,113.4933344523112,24.0,Extreme Fear,-66.51620762866514,,,,,,
2022-09-25,18921.99,19180.21,18629.2,18807.38,191191.4492,29.058107615120107,19903.63118876345,19868.117,19709.97764395852,31.47999890645345,3667.77001953125,1630.6333821614585,10824.58984375,29370.67708333333,113.79666646321614,24.0,Extreme Fear,13.131559304223629,,,,,,
2022-09-26,18809.13,19318.96,18680.72,19227.82,439239.21943,27.56678440625538,19885.926765115164,19889.9775,19664.05786834342,32.2599983215332,3655.0400390625,1623.300048828125,10802.919921875,29260.810546875,114.0999984741211,21.0,Extreme Fear,547.6913366965236,,,,,,
2022-09-27,19226.68,20385.86,18816.32,19079.13,593260.74161,39.02773043530567,19879.584786323227,19879.292,19608.350452310715,32.599998474121094,3647.2900390625,1626.699951171875,10829.5,29134.990234375,114.11000061035156,20.0,Extreme Fear,238.36186784821984,,,,,,
2022-09-28,19078.1,19790.0,18471.28,19412.82,521385.45547,42.274931898212735,19854.21735748053,19883.9445,19589.7285044716,30.18000030517578,3719.0400390625,1660.4000244140625,11051.6396484375,29683.740234375,112.5999984741211,20.0,Extreme Fear,627.7128219569786,,,,,,
2022-09-29,19412.82,19645.52,18843.01,19591.51,406424.93256,48.87874336358701,19771.283225070063,19795.5145,19589.8981707124,31.84000015258789,3640.469970703125,1658.5,10737.509765625,29225.609375,112.25,22.0,Extreme Fear,658.2798488472727,,,,,,
2022-09-30,19590.54,20185.0,19155.36,19422.61,444322.9534,46.18485164926572,19684.8726388814,19684.228,19573.965963977887,31.6200008392334,3585.6201171875,1662.4000244140625,10575.6201171875,28725.509765625,112.12000274658205,21.0,Extreme Fear,373.4400924897345,,,,,,
2022-10-01,19422.61,19484.0,19159.42,19310.95,165625.13959,41.62232571343881,19597.16337689194,19558.432,19548.916824551423,31.11333401997884,3616.556722005209,1672.5666910807292,10655.556640625,28980.63671875,111.99666849772136,20.0,Extreme Fear,316.62734246908803,,,,,,
2022-10-02,19312.24,19395.91,18920.35,19056.8,206812.47032,45.86657281401531,19436.90475153032,19391.485,19502.048555546527,30.606667200724285,3647.493326822917,1682.7333577473958,10735.4931640625,29235.763671875,111.87333424886069,24.0,Extreme Fear,127.98944742926324,,,,,,
2022-10-03,19057.74,19719.1,18959.68,19629.08,293585.75212,50.95922211941619,19340.37966692117,19364.2605,19514.14678835162,30.100000381469727,3678.429931640625,1692.9000244140625,10815.4296875,29490.890625,111.75,24.0,Extreme Fear,847.7020575970455,,,,,,
2022-10-04,19629.08,20475.0,19490.6,20337.82,327012.00127,65.09493540264995,19337.428858644413,19369.816,19592.591856127656,29.06999969482422,3790.929931640625,1721.0999755859375,11176.41015625,30316.3203125,110.06999969482422,20.0,Extreme Fear,1315.2644023409955,,,,,,
2022-10-05,20337.82,20365.6,19730.0,20158.26,312239.75224,68.39928697206005,19347.096793181296,19392.635,19646.465012686927,28.549999237060547,3783.280029296875,1711.4000244140625,11148.6396484375,30273.869140625,111.06999969482422,25.0,Extreme Fear,736.4141429926203,,,,,,
2022-10-06,20158.26,20456.6,19853.0,19960.67,320122.1702,57.22527813391783,19368.71413101357,19400.5035,19676.38929719293,30.520000457763672,3744.52001953125,1711.699951171875,11073.3095703125,29926.939453125,112.26000213623048,26.0,Fear,523.6085939565819,,,,,,
2022-10-07,19960.67,20068.82,19320.0,19530.09,220874.83913,52.8678208955224,19360.40679631309,19371.327,19662.456030793608,31.36000061035156,3639.659912109375,1700.5,10652.400390625,29296.7890625,112.8000030517578,23.0,Extreme Fear,163.26805072539355,,,,,,
2022-10-08,19530.09,19627.38,19237.14,19417.96,102480.09842,56.32865335782729,19351.38638850656,19371.416,19639.17069452755,31.723333994547527,3630.56990559896,1689.433349609375,10615.633463541666,29265.486328125,112.91333516438802,24.0,Extreme Fear,272.5760639869768,,,,,,
2022-10-09,19416.52,19558.0,19316.04,19439.02,113900.82681,58.22842195218542,19364.83935892978,19366.516,19620.108723620164,32.08666737874349,3621.4798990885415,1678.36669921875,10578.866536458334,29234.18359375,113.02666727701823,22.0,Extreme Fear,403.8908020522285,,,,,,
2022-10-10,19439.96,19525.0,19020.25,19131.87,212509.09849,48.71203558781916,19375.181399403773,19379.3595,19573.6097975611,32.45000076293945,3612.389892578125,1667.300048828125,10542.099609375,29202.880859375,113.13999938964844,22.0,Extreme Fear,127.1637174571042,,,,,,
2022-10-11,19131.87,19268.09,18860.0,19060.0,243473.84286,49.737805128767405,19395.93351915218,19409.2915,19524.69457874576,33.630001068115234,3588.840087890625,1678.699951171875,10426.1904296875,29239.189453125,113.22000122070312,24.0,Extreme Fear,230.60010955049077,,,,,,
2022-10-12,19060.0,19238.31,18965.88,19155.53,213826.26731,46.22729765476304,19404.70066070116,19396.9865,19489.53604743664,33.56999969482422,3577.030029296875,1670.300048828125,10417.099609375,29210.849609375,113.31999969482422,20.0,Extreme Fear,416.4489441811529,,,,,,
2022-10-13,19155.1,19513.79,18190.0,19375.13,399756.68337,46.86478497739659,19398.596104469005,19401.2475,19478.640233395054,31.940000534057617,3669.909912109375,1670.0,10649.150390625,30038.720703125,112.36000061035156,20.0,Extreme Fear,629.4575679775517,,,,,,
2022-10-14,19375.58,19951.87,19070.37,19176.93,351634.32601,46.47021637309273,19413.811945765723,19414.069,19449.90592545267,32.02000045776367,3583.070068359375,1641.699951171875,10321.3896484375,29634.830078125,113.30999755859376,24.0,Extreme Fear,337.0574764330413,,,,,,
2022-10-15,19176.93,19227.68,18975.18,19069.39,113847.64232,46.5252964631557,19424.934222667704,19427.1695,19413.6663135048,31.803333918253585,3614.6966959635415,1646.7999674479167,10439.5263671875,29818.49348958333,112.88666534423828,24.0,Extreme Fear,316.1890568374365,,,,,,
2022-10-16,19068.4,19425.84,19063.74,19262.98,131894.61885,53.01836962950383,19447.82776215775,19428.9275,19399.31523602815,31.58666737874349,3646.323323567709,1651.8999837239585,10557.6630859375,30002.156901041668,112.4633331298828,24.0,Extreme Fear,587.9751358989779,,,,,,
2022-10-17,19262.98,19676.96,19152.03,19549.86,222813.87634,48.734512878511936,19450.63020402629,19452.464,19413.652832596897,31.3700008392334,3677.949951171875,1657.0,10675.7998046875,30185.8203125,112.04000091552734,20.0,Extreme Fear,807.1457676914142,,,,,,
2022-10-18,19548.48,19706.66,19091.0,19327.44,260313.07848,30.89079698906839,19470.007797065387,19448.195,19405.44208663529,30.5,3719.97998046875,1649.0,10772.400390625,30523.80078125,112.12999725341795,22.0,Extreme Fear,436.35804080577145,,,,,,
2022-10-19,19327.44,19360.16,19065.97,19123.97,186137.29538,30.61392032568488,19468.22175827028,19424.818,19378.635221241453,30.76000022888184,3695.159912109375,1627.5,10680.509765625,30423.810546875,112.9800033569336,23.0,Extreme Fear,311.14995488989734,,,,,,
2022-10-20,19123.35,19347.82,18900.0,19041.92,223530.13068,31.99990595869241,19438.76928786532,19405.7835,19346.567104932743,29.979999542236328,3665.780029296875,1630.800048828125,10614.83984375,30333.58984375,112.87999725341795,23.0,Extreme Fear,345.8666398068672,,,,,,
2022-10-21,19041.92,19250.0,18650.0,19164.37,269310.75769,41.8509407559917,19419.21717224737,19398.4545,19329.214999701053,29.690000534057617,3752.75,1651.0,10859.7197265625,31082.560546875,112.01000213623048,23.0,Extreme Fear,543.399771423894,,,,,,
2022-10-22,19164.37,19257.0,19112.72,19204.35,110403.90837,45.08216724453101,19426.955272809468,19405.832,19317.32309496761,29.74333381652832,3767.613362630209,1650.2333170572915,10890.683268229166,31221.580078125,112.00333404541016,20.0,Extreme Fear,552.0463671858815,,,,,,
2022-10-23,19204.29,19695.0,19070.11,19570.4,167057.20184,52.61008113541908,19427.04436600473,19402.898,19341.42565735165,29.796667098999023,3782.476725260417,1649.4666341145833,10921.646809895834,31360.599609375,111.99666595458984,23.0,Extreme Fear,901.9656376712156,,,,,,
2022-10-24,19570.4,19601.15,19157.0,19329.72,256168.14467,54.037244267051946,19373.58673236628,19352.493,19340.310832841973,29.850000381469727,3797.340087890625,1648.699951171875,10952.6103515625,31499.619140625,111.98999786376952,22.0,Extreme Fear,480.1938201340672,,,,,,
2022-10-25,19330.6,20415.87,19237.0,20080.07,326370.67061,66.30134972305584,19363.1011298494,19348.5835,19410.764086857023,28.459999084472656,3859.110107421875,1652.800048828125,11199.1201171875,31836.740234375,110.9499969482422,20.0,Extreme Fear,1309.7620323887386,,,,,,
2022-10-26,20079.02,21020.0,20050.41,20771.59,380492.69576,71.69336175559359,19417.071318031856,19389.1295,19540.366554775403,27.280000686645508,3830.60009765625,1664.0,10970.990234375,31839.109375,109.6999969482422,33.0,Fear,1638.7655681661272,,,,,,
2022-10-27,20771.61,20872.21,20200.0,20295.11,328643.57791,61.552719217612726,19480.39335975014,19427.3805,19612.246882892032,27.38999938964844,3807.300048828125,1660.699951171875,10792.669921875,32033.279296875,110.58999633789062,32.0,Fear,729.0699345986286,,,,,,
2022-10-28,20295.11,20750.0,20000.09,20591.84,287039.94569,67.33877589033841,19539.35513382875,19486.0745,19705.541465473743,25.75,3901.06005859375,1639.5999755859375,11102.4501953125,32861.80078125,110.66999816894533,30.0,Fear,1135.4320304629764,,,,,,
2022-10-29,20591.84,21085.0,20554.01,20809.67,254881.77755,70.76468566846754,19607.57865774373,19554.607,19810.696564000053,25.793333053588867,3891.36669921875,1638.3666585286458,11064.350260416666,32818.850260416664,110.9566650390625,34.0,Fear,1196.3210318100173,,,,,,
2022-10-30,20809.68,20931.21,20515.0,20627.48,192795.60886,66.32536347712893,19666.5321902884,19629.3875,19888.48546266671,25.83666610717773,3881.67333984375,1637.1333414713542,11026.250325520834,32775.899739583336,111.24333190917967,34.0,Fear,854.7380601699806,,,,,,
2022-10-31,20627.48,20845.92,20237.95,20490.74,303567.61628,61.67652037508626,19748.36792532595,19700.9245,19945.84303765084,25.8799991607666,3871.97998046875,1635.9000244140625,10988.150390625,32732.94921875,111.52999877929688,31.0,Fear,751.811596664651,,,,,,
