date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2023-04-07,27906.33,0.177054614523846,99.43484933036044,-0.05882477223103653,1.3308819160125263,0.09677399022785341,0.345,0.555,0.0,1.0,28363.635,0.0,1.0
2023-04-08,27938.38,0.1679914602085684,24.984584263396464,-1.5953848706461946e-06,1.2678555474722721,0.1752578980637283,0.39,0.49,0.0,1.0,28157.39,0.0,1.0
2023-04-09,28323.76,0.1693903874900386,59.6457170758969,0.23076791597407093,1.548076898424514,0.2397253549167833,0.31,0.535,0.0,1.0,28655.162,0.0,1.0
2023-04-10,29637.34,0.2354802741148824,63.13985770089678,-0.08641913343820812,1.2407415085656985,0.1275509909602079,0.365,0.555,0.0,1.0,30408.232,0.0,0.0
2023-04-11,30200.42,0.2399410701107406,139.69238281250256,0.08889001456805147,1.3333344725748955,0.2682927966902127,0.335,0.595,0.0,1.0,31113.34,0.0,0.0
2023-04-12,29888.07,0.2302105588540165,134.0172293526828,0.16666747631475717,1.3333343453934465,0.2129380696313705,0.32,0.61,0.0,1.0,30645.324,0.0,0.0
2023-04-13,30373.84,0.2237610959675891,134.65548270089656,-0.062498767674940864,1.2031260942196647,0.17045395208415273,0.345,0.55,0.0,1.0,31150.309,0.0,0.0
2023-04-14,30466.93,0.2586062143103946,144.89613560268214,-0.0958891426180397,1.410959615518729,0.18158585259718052,0.31,0.62,0.0,1.0,31374.904,0.0,0.0
2023-04-15,30295.09,0.1822754941024954,90.54157366071976,0.12500050558366602,0.9453135427663112,0.1428567484055772,0.38,0.54,0.0,1.0,30784.146,0.0,0.0
2023-04-16,30304.65,0.1779339589389139,97.4068777901825,0.12280786392158466,1.0614044030890182,0.18518486832657605,0.35,0.53,0.0,1.0,30910.428,0.0,0.0
2023-04-17,29430.27,0.1990137277938259,65.17933872768246,0.18367172213220215,1.7244880486628145,0.1999997077653857,0.315,0.535,0.0,1.0,29747.793,0.0,0.0
2023-04-18,30380.01,0.1942971794029424,13.09235491071836,0.2499983350316011,1.2890632388297283,0.13333287262373836,0.455,0.455,0.0,1.0,30426.5,0.0,0.0
2023-04-19,28797.1,0.1838224822138011,39.41183035714676,-0.020407986350031198,1.6836718771502808,0.06337977206286444,0.37,0.52,0.0,1.0,29243.514,0.0,0.0
2023-04-20,28243.65,0.2133227684613628,69.14062500000249,-0.1249981792974869,1.382813048279734,-0.061583566518265846,0.34,0.53,0.0,1.0,28762.613,0.0,1.0
2023-04-21,27262.84,0.1890787211250115,-3.2988281249956386,-7.831298174720178e-07,1.407408799638194,0.03333286420707464,0.475,0.43,0.0,1.0,27249.242,0.0,1.0
2023-04-22,27816.85,0.2046003584233222,-82.65904017856657,0.05555480674283069,1.0902780992788934,-0.027864614684911335,0.48,0.445,0.0,1.0,27680.941,0.0,1.0
2023-04-23,27590.6,0.1916735922945171,-13.252650669638845,-0.06666722809854252,1.4666677895304183,0.06622496936590556,0.44,0.445,0.0,1.0,27645.094,0.0,1.0
2023-04-24,27510.93,0.1987314808613003,19.92145647321776,-0.2307705981977789,1.4711524631863373,-0.20000014341939815,0.435,0.49,0.0,1.0,27704.303,0.0,1.0
2023-04-25,28300.79,0.2021583489594996,-6.655761718745218,0.04347905332960904,1.1666665147784916,0.09967802829989886,0.44,0.415,0.0,1.0,28326.988,0.0,1.0
2023-04-26,28415.29,0.1930693725935501,26.685825892861256,-0.0666662949120266,1.333336353839784,0.0,0.41,0.475,0.0,1.0,28580.717,0.0,1.0
2023-04-27,29472.77,0.1825283322514335,23.41552734375417,0.0769234470943774,1.5096133255375273,0.1459070960588992,0.405,0.49,0.0,1.0,29597.084,0.0,0.0
2023-04-28,29311.7,0.2177204473784816,53.667201450897046,-0.017542425876482817,1.342103390932461,0.12280636210446016,0.375,0.53,0.0,1.0,29678.025,0.0,0.0
2023-04-29,29230.45,0.1847045753721202,40.34640066964889,0.20754844016948898,1.443394919127911,0.1448759232143866,0.385,0.49,0.0,1.0,29372.098,0.0,0.0
2023-04-30,29233.21,0.1932533790111537,-10.114536830353064,1.3409779292273994e-06,1.4166677043281595,0.07216447560369448,0.46,0.415,0.0,1.0,29170.31,0.0,0.0
2023-05-01,28068.26,0.2051487885809245,13.51478794643075,-0.07692380989436723,1.615386508893782,0.06666692505467503,0.415,0.47,0.0,1.0,28191.88,0.0,0.0
2023-05-02,28669.86,0.185983994496398,20.315290178575093,-0.23077020599204937,1.4615412043526388,-0.10701157710858804,0.39,0.47,0.0,1.0,28820.637,0.0,0.0
2023-05-03,29026.16,0.2065969076950949,40.7272600446471,0.06666803684407038,1.2750006850887006,0.06666699404768685,0.345,0.515,0.0,1.0,29459.38,0.0,0.0
2023-05-04,28838.16,0.1780077381369532,20.410714285716978,-0.07692356225250853,1.3076950376703604,0.03174567134307462,0.41,0.47,0.0,1.0,28956.137,0.0,0.0
2023-05-05,29505.61,0.1789216362020391,57.98332868304042,1.70425979736351e-06,1.2500004260649493,-0.043823931674206486,0.33,0.475,0.0,1.0,29796.656,0.0,0.0
2023-05-06,28848.2,0.1938082994603604,61.54917689732609,-0.12280799702952137,1.1754411205504334,-0.03321120958778113,0.385,0.51,0.0,1.0,29297.373,0.0,0.0
2023-05-07,28430.1,0.1789864286617836,27.420968191967575,-0.020409756729654463,1.3061222625103597,-0.035857405598179015,0.395,0.485,0.0,1.0,28600.219,0.0,0.0
2023-05-08,27668.79,0.1628404002777395,-34.34082031249392,0.07692151443040111,1.076922295676739,0.04347725822693429,0.44,0.405,0.0,1.0,27692.428,0.0,0.0
2023-05-09,27628.27,0.1724896145210965,61.93631417411197,-0.06666786799097656,1.3888864737264741,0.00826260541100018,0.375,0.51,0.0,1.0,27939.84,0.0,0.0
