date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2025-09-20 01:00:00,115723.72,115723.73,115610.84,115623.51,178.50409,20647554.5656759,115623.51,117003.01,117003.01,117003.01,117003.01,117003.01,117003.01,117003.01,117003.01,117003.01,117003.01,117003.0078125,117003.0078125,117003.0078125,117003.0078125,117003.0078125,117003.0078125,117003.0078125,0.0,366.01506696429857,115701.43,1.0,1.0,0.0,0.0
2025-09-20 02:00:00,115623.5,115623.51,115444.0,115606.39,154.74621,17878123.4301187,115606.39,117002.43,117002.43,117002.43,117002.43,117002.43,117002.43,117173.234,117344.04,117514.85,117685.66,117002.4296875,117002.4296875,117002.4296875,117002.4296875,117215.9375,117429.4453125,117642.953125,0.005906544688984792,61.002232142864344,115672.8,1.0,1.0,0.0,0.0
2025-09-20 03:00:00,115606.4,115606.4,115408.47,115445.0,162.93905,18821200.7757097,115445.0,117002.055,117002.055,117002.055,117002.055,117002.055,117002.055,117002.055,117002.055,117002.055,117002.055,117002.0546875,117002.0546875,117002.0546875,117002.0546875,117002.0546875,117002.0546875,117002.0546875,0.0,305.0097656250179,115747.54,1.0,1.0,1.0,1.0
2025-09-20 04:00:00,115445.0,115582.38,115409.08,115568.41,144.02474,16633922.5212489,115568.41,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,117004.25,0.0,305.01674107144066,115894.06,1.0,1.0,1.0,1.0
2025-09-20 05:00:00,115568.41,115717.5,115512.63,115717.49,224.42562,25951046.8017736,115717.49,117009.05,117009.05,117009.05,117009.05,117009.05,117009.05,117009.05,117009.05,117009.05,117009.05,117009.046875,117009.046875,117009.046875,117009.046875,117009.046875,117009.046875,117009.046875,0.0,183.01674107144024,115874.49,1.0,1.0,1.0,1.0
2025-09-20 06:00:00,115717.49,115724.34,115625.85,115700.46,159.86607,18492467.3957562,115700.46,117011.96,117011.96,117011.96,117011.96,117011.96,117011.96,117011.96,117011.96,117011.96,117011.96,117011.9609375,117011.9609375,117011.9609375,117011.9609375,117011.9609375,117011.9609375,117011.9609375,0.0,1.550257841337086e-11,115915.8,1.0,1.0,1.0,1.0
2025-09-20 07:00:00,115700.47,115985.2,115683.47,115968.56,231.14483,26777634.7349628,115968.56,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53,117020.53125,117020.53125,117020.53125,117020.53125,117020.53125,117020.53125,117020.53125,0.0,30.50585937501739,115970.36,1.0,1.0,0.0,0.0
2025-09-20 08:00:00,115968.56,115968.57,115700.01,115701.43,183.70782,21282598.1421463,115701.43,117025.05,117025.05,117025.05,117025.05,117025.05,117025.05,117025.05,117025.05,117025.05,117025.05,117025.046875,117025.046875,117025.046875,117025.046875,117025.046875,117025.046875,117025.046875,0.0,1.3119966449970456e-11,115986.69,1.0,1.0,1.0,1.0
2025-09-20 09:00:00,115701.43,115794.39,115664.11,115672.8,196.19831,22705232.3096874,115672.8,117022.46,117022.46,117022.46,117022.46,117022.46,117022.46,117022.46,117022.46,117022.46,117022.46,117022.4609375,117022.4609375,117022.4609375,117022.4609375,117022.4609375,117022.4609375,117022.4609375,0.0,366.07700892858486,116027.94,1.0,1.0,1.0,1.0
2025-09-20 10:00:00,115672.8,115798.16,115672.79,115747.54,170.36368,19719590.9409911,115747.54,117018.87,117018.87,117018.87,117018.87,117018.87,117018.87,117189.695,117360.52,117531.36,117702.19,117018.8671875,117018.8671875,117018.8671875,117018.8671875,117232.404296875,117445.94140625,117659.478515625,0.005899759669429879,2.0281979646547245e-11,115821.72,1.0,1.0,0.0,0.0
